"IDENTIFIER","IDN_TRB_NM","TRIBE_AFFILIATION","LGC_ID"
iyXTF8xq25,Catawba Indian Nation              ,Catawba                                 ,"0296"
j0ITD5jq25,Seneca-Cayuga Nation               ,Cayuga                                  ,"0297"
jHI8Dv9q25,Cayuga Nation                      ,Cayuga                                  ,"0297"
kUIm91vq25,Chalkyitsik Village                ,Chalkyitsik                             ,"0032"
cwMkcZTq25,Native Village of Chenega (Chanega),Chanega                                 ,"0034"
CeM4yZHq25,Village of Chefornak               ,Cheformak                               ,"0033"
"17hnQl1q25",Confederated Tribes/Chehalis Res   ,Chehalis                                ,"0298"
j0adXPrq25,Twenty-Nine Palms Bnd/Mission Ind/C,Chemehuevi                              ,"0230"
R90yOFvq25,Colorado River Indian Tribes       ,Chemehuevi                              ,"0230"
"1QSSPXDq25",Chemehuevi Ind Trb/Chemehuevi Res  ,Chemehuevi                              ,"0230"
SGvh2PK37T,Colorado River Tribal Council      ,Chemehuevi                              ,"0230"
"2fWGcutq25",United Keetoowah Bnd/Cherokee Ind/O,Cherokee                                ,"0299"
"21xmN5bq25",Cherokee Nation                    ,Cherokee                                ,"0299"
iNKJbuhq25,Eastern Band of Cherokee Indians   ,Cherokee                                ,"0299"
"2KiRLrnq25",Chevak Native Village              ,Chevak                                  ,"0035"
NAxXod59lV,Cheyenne&Arapaho Tribes of Oklahoma,Cheyenne                                ,"0300"
JtXRWFXq25,Northern Cheyenne Trb/Northern Chey,Cheyenne                                ,"0300"
He0xdlHOwQ,Chickahominy Indian Tribe          ,Chickahominy                            ,"0474"
Fh1IeCFOwQ,Chickahominy Indian Tribe-Eastern D,Chickahominy                            ,"0474"
"53UOArXq25",The Chickasaw Nation               ,Chickasaw                               ,"0301"
"2wDlJQBq25",Chickaloon Native Village          ,Chignik                                 ,"0036"
dF7PbLfq25,Native Village of Chignik Lagoon   ,Chignik Lagoon                          ,"0037"
"7TVg155q25",Chignik Lake Village               ,Chignik Lake                            ,"0038"
AnmwndDq25,Chilkat Indian Village (Klukwan)   ,Chilkat                                 ,"0074"
B6XbmPPq25,Chilkoot Ind Association (Haines)  ,Chilkoot                                ,"0075"
BPIGlBbq25,Chinik Eskimo Community (Golovin)2 ,Chinik                                  ,"0071"
M0Djj2dq25,MN Chippewa Tribe - Mille Lacs Band,Chippewa                                ,"0302"
cxXPvrzq25,Turtle Mtn Band/Chippewa Indians/ND,Chippewa                                ,"0302"
fNGXRlPq25,Sault Ste Marie Tribe/Chippewa Ind ,Chippewa                                ,"0302"
CJqQ1qJq25,MN Chippewa Tribe -Fond du Lac Band,Chippewa                                ,"0302"
CJYFhWBq25,Chippewa Cree Inds/Rocky Boy's Res ,Chippewa                                ,"0302"
C2QdT7P5E4,Grnd Traverse Bnd/Ottawa&Chippewa I,Chippewa                                ,"0302"
